,fuel_data,date,raw_data
718,7,260526233558,128
719,7,260526233625,127
720,9,260526233652,129
721,9,260526233719,128
722,9,260526233746,127
723,9,260526233813,129
724,9,260526233820,128
725,9,260526233829,127
726,9,260526233834,127
727,5,260526233857,128
728,5,260526233924,129
729,8,260526233951,127
730,8,260526234004,129
731,8,260526234017,128
732,8,260526234044,128
733,7,260526234111,126
734,7,260526234138,129
735,9,260526234151,127
736,9,260526234156,127
737,9,260526234223,128
738,8,260526234250,129
739,8,260526234317,128
740,8,260526234344,129
741,7,260526234349,128
742,7,260526234354,128
743,7,260526234421,127
744,7,260526234448,127
745,9,260526234515,129
746,9,260526234542,128
747,8,260526234609,130
748,8,260526234627,128
749,8,260526234632,127
750,6,260526234659,128
751,6,260526234726,128
752,7,260526234753,128
753,7,260526234820,129
754,7,260526234847,129
755,8,260526234914,128
756,8,260526234941,130
757,8,260526235008,129
758,8,260526235035,128
759,6,260526235102,128
760,6,260526235112,129
761,6,260526235118,130
762,6,260526235145,127
763,6,260526235212,130
764,6,260526235237,127
765,6,260526235242,127
766,8,260526235309,128
767,8,260526235314,128
768,8,260526235341,129
769,9,260526235408,128
770,9,260526235435,128
771,8,260526235455,130
772,8,260526235522,128
773,6,260526235550,128
774,6,260526235617,127
775,6,260526235643,128
776,6,260526235648,129
777,10,260526235715,129
778,10,260526235742,127
779,7,260526235809,128
780,7,260526235836,130
781,7,260526235903,129
782,7,260526235930,129
783,8,260526235957,127
784,8,260527000022,129
785,8,260527000049,127
786,8,260527000116,128
787,8,260527000121,129
788,8,260527000127,130
789,4,260527000154,128
790,4,260527000810,40
791,4,260527001310,40
792,4,260527001810,40
793,4,260527002310,40
794,4,260527002810,40
795,4,260527003309,40
796,4,260527003809,40
797,4,260527004310,40
798,4,260527004810,40
799,4,260527005310,40
800,4,260527005810,40
801,4,260527010310,40
802,4,260527010810,40
803,4,260527011310,40
804,4,260527011810,40
805,4,260527011859,103
806,4,260527011912,106
807,4,260527011919,107
808,4,260527011946,109
809,7,260527012013,113
810,7,260527012040,115
811,7,260527012105,117
812,7,260527012130,120
813,8,260527012155,122
814,8,260527012220,124
815,8,260527012245,126
816,8,260527012310,127
817,8,260527012335,127
818,7,260527112157,76
819,7,260527112205,77
820,7,260527112210,78
821,7,260527112217,79
822,7,260527112244,82
823,6,260527112250,82
824,6,260527112317,88
825,6,260527112333,88
826,7,260527112350,92
827,7,260527112417,97
828,7,260527112444,100
829,8,260527112511,102
830,8,260527112538,103
831,7,260527112606,105
832,7,260527112627,106
833,7,260527112647,109
834,7,260527112652,109
835,7,260527112719,112
836,7,260527112725,113
837,4,260527112752,118
838,4,260527112757,118
839,4,260527112801,118
840,4,260527112805,120
841,4,260527112811,121
842,4,260527112838,122
843,4,260527112843,124
844,7,260527112910,128
845,7,260527112938,124
