,sample_number,date,temp,status
106,106,260913005815,81,0x262602005304080867284063983169001902581E000000304E00000500000040000000000235950026091300581566A67E44985998C2A6178340013000F72839025000010A3D00002D9504702258794500FFFF
107,107,260913005829,81,0x262602005304090867284063983169001902581E000000254E00000500000040000000000235BE002609130058299AF97D44CA5998C286178340012001372817009000010A510000109A02550C5879451DFFFF
108,108,260913005834,81,0x2626020053040A0867284063983169001902581E000000254E00000500000040000000000235E00026091300583400E07C44D85998C221198340031001582838034000010A630000482E06B8375D794546FFFF
109,109,260913005900,80,0x2626020053040B0867284063983169001902581E000000254E00000500000040000000000237580026091300590000C07B44055A98C272348340052000052850054000010AF4000044E807723454784407FFFF
110,110,260913005927,78,0x2626020053040C0867284063983169001902581E0000001F4D000005000000400000000002389A00260913005927CD2C7B44B15998C21A4A8340010000112842005000010B5A0000109A023A0C58764510FFFF
111,111,260913005953,79,0x2626020053040D0867284063983169001902581E0000002C4E00000500000040000000000238AA00260913005953CD2C7B44B15998C21A4A8340000000112835000000010B7C000010EE023E0C5B77450FFFFF
112,112,260913010020,79,0x2626020053040E0867284063983169001902581E0000002C4B00000500000040000000000238AA00260913010020CD2C7B44B15998C21A4A8340000000112834000000010BA0000010C6023D0C5A774510FFFF
113,113,260913010046,79,0x2626020053040F0867284063983169001902581E000000304E00000500000040000000000238AA00260913010046CD2C7B44B15998C21A4A8340000000112836000000010BC5000017A6023F125877450FFFFF
114,114,260913010113,79,0x262602005304100867284063983169001902581E0000002C5000000500000040000000000238AA00260913010113CD2C7B44B15998C21A4A8340000000112837000000010BEB0000142002400F5877440EFFFF
115,115,260913010139,78,0x262602005304110867284063983169001902581E0000001F4E00000500000040000000000238CE00260913010139CD2C7B44B15998C21A4A8340000000112840007000010C4A000035B005C42955764314FFFF
116,116,260913010206,79,0x262602005304120867284063983169001902581E000000224D00000500000040000000000238EF00260913010206CD2C7B44B15998C21A4A8340000000112840000000010C830000135002320E5C774305FFFF
117,117,260913010232,79,0x262602005304130867284063983169001902581E0000002C4F00000500000040000000000238EF00260913010232CD2C7B44B15998C21A4A8340000000112819000000010CA500001201023C0D58774310FFFF
118,118,260913010259,79,0x262602005304140867284063983169001902581E000000304F00000500000040000000000238EF00260913010259CD2C7B44B15998C21A4A8340000000112825000000010CCC0000184D02411258774310FFFF
119,119,260913010325,79,0x262602005304150867284063983169001902581E000000304F00000500000040000000000238EF00260913010325CD2C7B44B15998C21A4A8340000000112828000000010CF3000017A6023E125A774411FFFF
