,Value fs01,Dates fs01
707,2179,2026-03-14 22:38:52.647
708,2179,2026-03-14 22:40:52.735
709,2179,2026-03-14 22:42:52.734
710,2179,2026-03-14 22:44:52.672
711,2184,2026-03-14 22:46:52.591
712,2204,2026-03-14 22:48:52.670
713,2202,2026-03-14 22:50:52.728
714,2199,2026-03-14 22:52:52.716
715,2196,2026-03-14 22:54:52.698
716,2193,2026-03-14 22:56:52.723
717,2191,2026-03-14 22:58:52.821
718,2189,2026-03-14 23:00:52.793
719,2187,2026-03-14 23:02:52.797
720,2186,2026-03-14 23:04:52.781
721,2184,2026-03-14 23:06:52.824
722,2183,2026-03-14 23:08:52.725
723,2182,2026-03-14 23:10:52.792
724,2184,2026-03-14 23:12:52.826
725,2184,2026-03-14 23:14:52.811
726,2184,2026-03-14 23:16:53.433
727,2185,2026-03-14 23:18:52.878
728,2185,2026-03-14 23:20:52.809
729,2186,2026-03-14 23:22:52.877
730,2186,2026-03-14 23:24:52.918
731,2187,2026-03-14 23:26:53.039
732,2187,2026-03-14 23:28:52.999
733,2188,2026-03-14 23:30:52.985
734,2188,2026-03-14 23:32:53.002
735,2189,2026-03-14 23:34:53.135
736,2189,2026-03-14 23:36:52.946
737,2189,2026-03-14 23:38:53.043
738,2190,2026-03-14 23:40:53.065
739,2190,2026-03-14 23:42:53.003
740,2189,2026-03-14 23:44:53.091
741,2192,2026-03-14 23:46:52.847
742,2204,2026-03-14 23:48:52.877
743,2019,2026-03-14 23:50:52.961
744,2236,2026-03-14 23:52:52.953
745,2236,2026-03-14 23:54:52.921
746,2243,2026-03-14 23:56:52.977
747,2228,2026-03-14 23:58:52.892
748,2230,2026-03-15 00:00:52.905
749,2229,2026-03-15 00:02:52.871
750,2240,2026-03-15 00:04:53.003
751,2259,2026-03-15 00:06:53.039
752,2283,2026-03-15 00:08:53.051
753,2314,2026-03-15 00:10:53.031
754,2353,2026-03-15 00:12:53.047
755,2393,2026-03-15 00:14:53.019
756,2677,2026-03-15 00:16:53.042
757,3108,2026-03-15 00:18:53.184
758,3382,2026-03-15 00:20:53.167
759,3404,2026-03-15 00:22:53.244
760,3424,2026-03-15 00:24:53.373
761,3437,2026-03-15 00:26:53.214
762,3511,2026-03-15 00:28:53.152
763,3535,2026-03-15 00:30:53.587
764,3562,2026-03-15 00:32:53.326
765,3580,2026-03-15 00:34:53.294
766,3606,2026-03-15 00:36:53.280
767,3643,2026-03-15 00:38:57.912
768,3648,2026-03-15 00:41:15.314
769,3647,2026-03-15 00:42:58.750
770,3647,2026-03-15 00:43:07.439
771,3694,2026-03-15 00:44:52.511
772,3770,2026-03-15 00:46:53.656
773,3725,2026-03-15 00:48:53.412
774,3718,2026-03-15 00:50:53.746
775,3707,2026-03-15 00:52:53.347
776,3724,2026-03-15 00:54:54.019
777,3726,2026-03-15 00:56:52.368
778,3778,2026-03-15 00:58:58.190
779,3756,2026-03-15 01:00:53.454
780,3773,2026-03-15 01:02:53.529
781,3804,2026-03-15 01:05:01.508
782,3804,2026-03-15 01:05:02.241
783,3816,2026-03-15 01:06:53.616
784,3830,2026-03-15 01:08:53.313
785,3862,2026-03-15 01:10:53.440
786,3877,2026-03-15 01:12:53.708
787,3894,2026-03-15 01:14:53.445
788,3900,2026-03-15 01:16:53.360
789,3916,2026-03-15 01:18:53.745
790,3920,2026-03-15 01:20:53.410
791,3924,2026-03-15 01:22:53.482
792,3926,2026-03-15 01:24:53.564
793,3945,2026-03-15 01:26:53.987
794,3939,2026-03-15 01:28:53.629
795,3933,2026-03-15 01:30:53.597
796,3928,2026-03-15 01:32:53.647
797,3924,2026-03-15 01:34:54.032
798,3921,2026-03-15 01:36:53.767
799,3918,2026-03-15 01:38:53.745
800,3916,2026-03-15 01:40:53.688
801,3914,2026-03-15 01:42:53.716
802,3912,2026-03-15 01:44:53.699
803,3910,2026-03-15 01:46:53.633
804,3909,2026-03-15 01:48:53.533
805,3907,2026-03-15 01:50:53.613
806,3906,2026-03-15 01:52:53.641
807,3905,2026-03-15 01:54:53.707
808,3904,2026-03-15 01:56:53.639
809,3903,2026-03-15 01:58:53.876
810,3903,2026-03-15 02:06:19.960
811,3902,2026-03-15 02:06:20.545
812,3901,2026-03-15 02:06:21.128
813,3901,2026-03-15 02:06:50.078
814,3900,2026-03-15 02:08:50.041
815,3900,2026-03-15 02:10:50.077
816,3899,2026-03-15 02:12:50.045
817,3899,2026-03-15 02:14:50.074
818,3899,2026-03-15 02:16:50.130
819,3898,2026-03-15 02:18:50.139
820,3898,2026-03-15 02:20:51.610
821,3897,2026-03-15 02:22:50.193
822,3897,2026-03-15 02:24:50.318
823,3897,2026-03-15 02:26:50.132
824,3896,2026-03-15 02:28:51.619
825,3896,2026-03-15 02:30:50.189
826,3896,2026-03-15 02:32:50.222
827,3896,2026-03-15 02:34:50.083
828,3895,2026-03-15 02:36:50.151
829,3895,2026-03-15 02:38:50.198
830,3895,2026-03-15 02:40:50.187
831,3895,2026-03-15 02:42:50.195
832,3894,2026-03-15 02:44:50.289
833,3894,2026-03-15 02:46:50.285
834,3894,2026-03-15 02:48:50.314
835,3894,2026-03-15 02:50:50.334
836,3894,2026-03-15 02:52:50.258
837,3894,2026-03-15 02:54:50.206
838,3893,2026-03-15 02:56:50.324
839,3893,2026-03-15 02:58:50.381
840,3893,2026-03-15 03:00:50.342
841,3893,2026-03-15 03:02:50.288
842,3904,2026-03-15 03:04:50.254
843,3927,2026-03-15 03:06:50.172
844,3936,2026-03-15 03:08:50.315
845,3950,2026-03-15 03:10:50.294
846,3953,2026-03-15 03:12:50.407
847,3980,2026-03-15 03:14:50.322
848,3961,2026-03-15 03:16:50.712
849,3962,2026-03-15 03:18:50.482
850,3976,2026-03-15 03:20:51.882
851,3972,2026-03-15 03:22:50.295
852,3962,2026-03-15 03:24:50.339
853,3941,2026-03-15 03:26:50.316
854,3923,2026-03-15 03:28:50.361
855,3939,2026-03-15 03:30:50.776
856,3932,2026-03-15 03:32:50.430
857,3935,2026-03-15 03:34:50.460
858,3935,2026-03-15 03:36:50.736
859,3939,2026-03-15 03:38:50.660
860,3916,2026-03-15 03:40:50.582
861,3898,2026-03-15 03:42:50.585
862,3881,2026-03-15 03:44:50.704
863,3866,2026-03-15 03:46:50.596
864,3851,2026-03-15 03:48:50.666
865,3838,2026-03-15 03:50:51.019
866,3826,2026-03-15 03:52:50.728
867,3814,2026-03-15 03:54:50.725
868,3804,2026-03-15 03:56:50.728
869,3795,2026-03-15 03:58:50.715
870,3786,2026-03-15 04:00:51.271
871,3778,2026-03-15 04:02:50.720
872,3771,2026-03-15 04:04:51.007
873,3764,2026-03-15 04:06:50.752
874,3758,2026-03-15 04:08:50.798
875,3752,2026-03-15 04:10:50.734
876,3746,2026-03-15 04:12:50.739
877,3740,2026-03-15 04:14:50.758
878,3735,2026-03-15 04:16:50.883
879,3731,2026-03-15 04:18:52.356
880,3728,2026-03-15 04:20:50.876
881,3725,2026-03-15 04:22:50.855
882,3722,2026-03-15 04:24:51.196
883,3719,2026-03-15 04:26:50.816
884,3717,2026-03-15 04:28:50.814
885,3715,2026-03-15 04:30:50.878
886,3713,2026-03-15 04:32:50.895
887,3712,2026-03-15 04:34:50.891
888,3710,2026-03-15 04:36:50.965
889,3709,2026-03-15 04:38:50.908
890,3708,2026-03-15 04:40:50.738
891,3708,2026-03-15 04:42:50.983
892,3708,2026-03-15 04:44:51.011
893,3707,2026-03-15 04:46:50.924
894,3707,2026-03-15 04:48:50.894
895,3707,2026-03-15 04:50:50.895
896,3706,2026-03-15 04:52:50.892
897,3706,2026-03-15 04:54:50.939
898,3706,2026-03-15 04:56:51.001
899,3706,2026-03-15 04:58:50.992
900,3706,2026-03-15 05:00:50.968
901,3705,2026-03-15 05:02:51.009
902,3705,2026-03-15 05:04:51.096
903,3705,2026-03-15 05:06:50.982
904,3705,2026-03-15 05:08:50.969
905,3705,2026-03-15 05:10:51.057
906,3705,2026-03-15 05:12:51.044
907,3705,2026-03-15 05:14:51.033
908,3704,2026-03-15 05:16:51.060
909,3704,2026-03-15 05:18:51.167
910,3704,2026-03-15 05:20:51.078
911,3704,2026-03-15 05:22:51.181
912,3704,2026-03-15 05:24:51.139
913,3704,2026-03-15 05:26:51.118
914,3704,2026-03-15 05:28:51.142
915,3704,2026-03-15 05:30:51.149
916,3704,2026-03-15 05:32:51.167
917,3711,2026-03-15 05:34:51.088
918,3726,2026-03-15 05:36:51.211
919,3740,2026-03-15 05:38:51.133
920,3757,2026-03-15 05:40:51.217
921,3759,2026-03-15 05:42:52.617
922,3795,2026-03-15 05:44:51.268
923,3788,2026-03-15 05:46:51.285
924,3772,2026-03-15 05:48:51.042
925,3758,2026-03-15 05:50:51.145
926,3745,2026-03-15 05:52:51.097
927,3733,2026-03-15 05:54:51.092
928,3722,2026-03-15 05:56:51.135
929,3712,2026-03-15 05:58:51.115
930,3703,2026-03-15 06:00:51.091
931,3694,2026-03-15 06:02:51.170
932,3687,2026-03-15 06:04:51.437
933,3680,2026-03-15 06:06:51.241
934,3673,2026-03-15 06:08:51.243
935,3668,2026-03-15 06:10:51.203
936,3663,2026-03-15 06:12:51.389
937,3658,2026-03-15 06:14:51.220
938,3654,2026-03-15 06:16:51.307
939,3650,2026-03-15 06:18:51.300
940,3647,2026-03-15 06:20:51.334
941,3645,2026-03-15 06:22:51.340
942,3642,2026-03-15 06:24:51.322
943,3640,2026-03-15 06:26:51.262
944,3639,2026-03-15 06:28:51.245
945,3637,2026-03-15 06:30:51.299
946,3636,2026-03-15 06:32:51.505
947,3635,2026-03-15 06:34:51.506
948,3634,2026-03-15 06:36:51.378
949,3633,2026-03-15 06:38:51.494
950,3632,2026-03-15 06:40:51.467
951,3631,2026-03-15 06:42:51.520
952,3630,2026-03-15 06:44:51.612
953,3630,2026-03-15 06:46:51.425
954,3629,2026-03-15 06:48:51.488
955,3629,2026-03-15 06:50:51.439
956,3628,2026-03-15 06:52:51.457
957,3628,2026-03-15 06:54:51.439
958,3627,2026-03-15 06:56:51.475
959,3627,2026-03-15 06:58:51.511
960,3627,2026-03-15 07:00:51.463
961,3626,2026-03-15 07:02:51.476
962,3626,2026-03-15 07:04:51.439
963,3626,2026-03-15 07:06:51.490
964,3625,2026-03-15 07:08:51.498
965,3625,2026-03-15 07:10:51.492
966,3625,2026-03-15 07:12:51.557
967,3624,2026-03-15 07:14:51.592
968,3624,2026-03-15 07:16:51.579
969,3624,2026-03-15 07:18:51.567
970,3624,2026-03-15 07:20:51.581
971,3624,2026-03-15 07:22:51.654
972,3623,2026-03-15 07:24:51.668
973,3623,2026-03-15 07:26:51.660
974,3623,2026-03-15 07:28:51.657
975,3623,2026-03-15 07:30:53.102
976,3623,2026-03-15 07:32:51.653
977,3623,2026-03-15 07:34:51.654
978,3622,2026-03-15 07:36:51.748
979,3622,2026-03-15 07:38:51.661
980,3622,2026-03-15 07:40:51.709
981,3622,2026-03-15 07:42:51.737
982,3622,2026-03-15 07:44:51.725
983,3622,2026-03-15 07:46:51.691
984,3622,2026-03-15 07:48:51.724
985,3622,2026-03-15 07:50:51.815
986,3622,2026-03-15 07:52:51.776
987,3621,2026-03-15 07:54:51.782
988,3621,2026-03-15 07:56:51.775
989,3632,2026-03-15 07:58:51.969
990,3655,2026-03-15 08:00:54.683
991,3687,2026-03-15 08:02:51.903
992,3703,2026-03-15 08:04:51.806
993,3714,2026-03-15 08:06:51.935
994,3734,2026-03-15 08:08:51.941
995,3767,2026-03-15 08:10:51.894
996,3765,2026-03-15 08:12:51.978
997,3789,2026-03-15 08:14:51.932
998,3797,2026-03-15 08:16:52.168
999,3809,2026-03-15 08:18:52.425
1000,3799,2026-03-15 08:20:52.215
1001,3790,2026-03-15 08:22:52.232
1002,3783,2026-03-15 08:24:52.033
1003,3775,2026-03-15 08:26:52.125
1004,3768,2026-03-15 08:28:52.114
1005,3761,2026-03-15 08:30:52.136
1006,3755,2026-03-15 08:32:52.176
1007,3750,2026-03-15 08:34:52.242
1008,3746,2026-03-15 08:36:52.189
1009,3741,2026-03-15 08:38:52.228
1010,3737,2026-03-15 08:40:52.095
1011,3731,2026-03-15 08:42:52.130
1012,3725,2026-03-15 08:44:52.334
1013,3719,2026-03-15 08:46:52.310
1014,3713,2026-03-15 08:48:52.317
1015,3706,2026-03-15 08:50:52.287
1016,3702,2026-03-15 08:52:52.286
1017,3696,2026-03-15 08:54:52.310
1018,3690,2026-03-15 08:56:52.419
1019,3687,2026-03-15 08:58:52.399
1020,3686,2026-03-15 09:00:52.439
1021,3685,2026-03-15 09:02:53.863
1022,3684,2026-03-15 09:04:52.361
1023,3683,2026-03-15 09:06:52.424
1024,3684,2026-03-15 09:08:52.454
1025,3684,2026-03-15 09:10:52.495
1026,3685,2026-03-15 09:12:52.639
1027,3686,2026-03-15 09:14:52.558
1028,3688,2026-03-15 09:16:52.751
1029,3689,2026-03-15 09:18:54.155
1030,3689,2026-03-15 09:20:52.550
1031,3690,2026-03-15 09:22:52.528
1032,3690,2026-03-15 09:24:52.934
1033,3690,2026-03-15 09:26:52.745
1034,3690,2026-03-15 09:28:52.604
1035,3690,2026-03-15 09:30:52.814
1036,3690,2026-03-15 09:32:52.747
1037,3690,2026-03-15 09:34:52.594
1038,3690,2026-03-15 09:36:52.598
1039,3690,2026-03-15 09:38:52.655
1040,3690,2026-03-15 09:40:52.632
1041,3690,2026-03-15 09:42:52.667
1042,3690,2026-03-15 09:44:52.666
1043,3690,2026-03-15 09:46:52.677
1044,3690,2026-03-15 09:48:52.585
1045,3689,2026-03-15 09:50:52.696
1046,3699,2026-03-15 09:52:52.504
1047,3707,2026-03-15 09:54:52.433
1048,3711,2026-03-15 09:56:52.520
1049,3719,2026-03-15 09:58:52.534
