,value,date,raw data
140,4095,260801040558,0x25252100200168086948706017347226080104055801013E01071BFF0FFFFFF1
141,4095,260801040743,0x25252100200169086948706017347226080104074301013E01071BFF0FFFFFF1
142,4095,260801040928,0x2525210020016A086948706017347226080104092801013E01071BFF0FFFFFF1
143,4095,260801041113,0x2525210020016B086948706017347226080104111301013E01071BFF0FFFFFF1
144,4095,260801041258,0x2525210020016C086948706017347226080104125801013E01071BFF0FFFFFF1
145,4095,260801041443,0x2525210020016D086948706017347226080104144301013E01071BFF0FFFFFF1
146,4095,260801041628,0x2525210020016E086948706017347226080104162801013E01071BFF0FFFFFF1
147,4095,260801041813,0x2525210020016F086948706017347226080104181301013E01071BFF0FFFFFF1
148,4095,260801041958,0x25252100200170086948706017347226080104195801013E01071BFF0FFFFFF1
149,4095,260801042143,0x25252100200171086948706017347226080104214301013E01071BFF0FFFFFF1
150,4095,260801042328,0x25252100200172086948706017347226080104232801013E01071BFF0FFFFFF1
151,4095,260801042513,0x25252100200173086948706017347226080104251301013E01071BFF0FFFFFF1
152,4095,260801042658,0x25252100200174086948706017347226080104265801013E01071BFF0FFFFFF1
153,4095,260801042843,0x25252100200175086948706017347226080104284301013E01071BFF0FFFFFF1
154,4095,260801043028,0x25252100200176086948706017347226080104302801013E01071BFF0FFFFFF1
155,4095,260801043213,0x25252100200177086948706017347226080104321301013E01071BFF0FFFFFF1
156,4095,260801043358,0x25252100200178086948706017347226080104335801013E01071BFF0FFFFFF1
157,4095,260801043543,0x25252100200179086948706017347226080104354301013E01071BFF0FFFFFF1
158,4095,260801043728,0x2525210020017A086948706017347226080104372801013E01071BFF0FFFFFF1
159,4095,260801043913,0x2525210020017B086948706017347226080104391301013E01071BFF0FFFFFF1
160,4095,260801044058,0x2525210020017C086948706017347226080104405801013E01071BFF0FFFFFF1
161,4095,260801044243,0x2525210020017D086948706017347226080104424301013E01071BFF0FFFFFF1
162,4095,260801044428,0x2525210020017E086948706017347226080104442801013E01071BFF0FFFFFF1
163,4095,260801044613,0x2525210020017F086948706017347226080104461301013E01071BFF0FFFFFF1
164,4095,260801044758,0x25252100200180086948706017347226080104475801013E01071BFF0FFFFFF1
165,4095,260801044943,0x25252100200181086948706017347226080104494301013E01071BFF0FFFFFF1
166,4095,260801045128,0x25252100200182086948706017347226080104512801013E01071BFF0FFFFFF1
167,4095,260801045313,0x25252100200183086948706017347226080104531301013E01071BFF0FFFFFF1
168,4095,260801045458,0x25252100200184086948706017347226080104545801013E01071BFF0FFFFFF1
169,4095,260801045643,0x25252100200185086948706017347226080104564301013E01071BFF0FFFFFF1
170,4095,260801045828,0x25252100200186086948706017347226080104582801013E01071BFF0FFFFFF1
171,4095,260801050013,0x25252100200187086948706017347226080105001301013E01071BFF0FFFFFF1
172,4095,260801050158,0x25252100200188086948706017347226080105015801013E01071BFF0FFFFFF1
173,4095,260801050343,0x25252100200189086948706017347226080105034301013E01071BFF0FFFFFF1
174,4095,260801050528,0x2525210020018A086948706017347226080105052801013E01071BFF0FFFFFF1
175,4095,260801050713,0x2525210020018B086948706017347226080105071301013E01071BFF0FFFFFF1
176,4095,260801050858,0x2525210020018C086948706017347226080105085801013E01071BFF0FFFFFF1
177,4095,260801051043,0x2525210020018D086948706017347226080105104301013E01071AFF0FFFFF3C
178,4095,260801051228,0x2525210020018E086948706017347226080105122801013E01071AFF0FFFFF3C
179,4095,260801051413,0x2525210020018F086948706017347226080105141301013E01071AFF0FFFFF3C
180,4095,260801051558,0x25252100200190086948706017347226080105155801013E01071AFF0FFFFF3C
181,4095,260801051743,0x25252100200191086948706017347226080105174301013E01071AFF0FFFFF3C
182,4095,260801051928,0x25252100200192086948706017347226080105192801013E01071AFF0FFFFF3C
183,4095,260801052113,0x25252100200193086948706017347226080105211301013E01071AFF0FFFFF3C
184,4095,260801052258,0x25252100200194086948706017347226080105225801013E01071AFF0FFFFF3C
185,4095,260801052443,0x25252100200195086948706017347226080105244301013E01071AFF0FFFFF3C
186,4095,260801052629,0x25252100200196086948706017347226080105262901013E01071AFF0FFFFF3C
187,4095,260801052814,0x25252100200197086948706017347226080105281401013E01071AFF0FFFFF3C
188,4095,260801052959,0x25252100200198086948706017347226080105295901013E01071AFF0FFFFF3C
189,4095,260801053144,0x25252100200199086948706017347226080105314401013E01071AFF0FFFFF3C
190,4095,260801053329,0x2525210020019A086948706017347226080105332901013E01071AFF0FFFFF3C
191,4095,260801053514,0x2525210020019B086948706017347226080105351401013E01071AFF0FFFFF3C
192,4095,260801053659,0x2525210020019C086948706017347226080105365901013E01071AFF0FFFFF3C
193,4095,260801053844,0x2525210020019D086948706017347226080105384401013E01071AFF0FFFFF3C
194,4095,260801054029,0x2525210020019E086948706017347226080105402901013E01071AFF0FFFFF3C
195,4095,260801054214,0x2525210020019F086948706017347226080105421401013E01071AFF0FFFFF3C
196,4095,260801054359,0x252521002001A0086948706017347226080105435901013E01071AFF0FFFFF3C
197,4095,260801054544,0x252521002001A1086948706017347226080105454401013E01071AFF0FFFFF3C
198,4095,260801054729,0x252521002001A2086948706017347226080105472901013E01071AFF0FFFFF3C
199,4095,260801054914,0x252521002001A3086948706017347226080105491401013E01071AFF0FFFFF3C
200,4095,260801055059,0x252521002001A4086948706017347226080105505901013E01071AFF0FFFFF3C
201,4095,260801055244,0x252521002001A5086948706017347226080105524401013E01071AFF0FFFFF3C
202,4095,260801055429,0x252521002001A6086948706017347226080105542901013E01071AFF0FFFFF3C
203,4095,260801055614,0x252521002001A7086948706017347226080105561401013E01071AFF0FFFFF3C
204,4095,260801055759,0x252521002001A8086948706017347226080105575901013E01071AFF0FFFFF3C
205,4095,260801055944,0x252521002001A9086948706017347226080105594401013E01071AFF0FFFFF3C
206,4095,260801060129,0x252521002001AA086948706017347226080106012901013E01071AFF0FFFFF3C
207,4095,260801060314,0x252521002001AB086948706017347226080106031401013E01071AFF0FFFFF3C
208,4095,260801060459,0x252521002001AC086948706017347226080106045901013E01071AFF0FFFFF3C
209,4095,260801060644,0x252521002001AD086948706017347226080106064401013E01071AFF0FFFFF3C
210,4095,260801060829,0x252521002001AE086948706017347226080106082901013E01071AFF0FFFFF3C
211,4095,260801061014,0x252521002001AF086948706017347226080106101401013E01071AFF0FFFFF3C
212,4095,260801061159,0x252521002001B0086948706017347226080106115901013E01071AFF0FFFFF3C
213,4095,260801061344,0x252521002001B1086948706017347226080106134401013E01071AFF0FFFFF3C
214,4095,260801061529,0x252521002001B2086948706017347226080106152901013E01071AFF0FFFFF3C
215,4095,260801061714,0x252521002001B3086948706017347226080106171401013E01071AFF0FFFFF3C
216,4095,260801061859,0x252521002001B4086948706017347226080106185901013E01071AFF0FFFFF3C
217,4095,260801062044,0x252521002001B5086948706017347226080106204401013E01071AFF0FFFFF3C
218,4095,260801062229,0x252521002001B6086948706017347226080106222901013E01071AFF0FFFFF3C
219,4095,260801062414,0x252521002001B7086948706017347226080106241401013E01071AFF0FFFFF3C
220,4095,260801062559,0x252521002001B8086948706017347226080106255901013E01071AFF0FFFFF3C
221,4095,260801062744,0x252521002001B9086948706017347226080106274401013E01071AFF0FFFFF3C
222,4095,260801062929,0x252521002001BA086948706017347226080106292901013E01071AFF0FFFFF3C
223,4095,260801063114,0x252521002001BB086948706017347226080106311401013E01071AFF0FFFFF3C
224,4095,260801063259,0x252521002001BC086948706017347226080106325901013E01071AFF0FFFFF3C
225,4095,260801063444,0x252521002001BD086948706017347226080106344401013E01071AFF0FFFFF3C
226,4095,260801063629,0x252521002001BE086948706017347226080106362901013E01071AFF0FFFFF3C
227,4095,260801063814,0x252521002001BF086948706017347226080106381401013E01071AFF0FFFFF3C
228,4095,260801063959,0x252521002001C0086948706017347226080106395901013E01071AFF0FFFFF3C
229,4095,260801064144,0x252521002001C1086948706017347226080106414401013E01071AFF0FFFFF3C
230,4095,260801064329,0x252521002001C2086948706017347226080106432901013E01071AFF0FFFFF3C
231,4095,260801064514,0x252521002001C3086948706017347226080106451401013E01071AFF0FFFFF3C
232,4095,260801064659,0x252521002001C4086948706017347226080106465901013E01071AFF0FFFFF3C
233,4095,260801064844,0x252521002001C5086948706017347226080106484401013E01071AFF0FFFFF3C
234,4095,260801065029,0x252521002001C6086948706017347226080106502901013E01071AFF0FFFFF3C
235,4095,260801065214,0x252521002001C7086948706017347226080106521401013E01071AFF0FFFFF3C
236,4095,260801065359,0x252521002001C8086948706017347226080106535901013E01071AFF0FFFFF3C
237,4095,260801065544,0x252521002001C9086948706017347226080106554401013E01071AFF0FFFFF3C
238,4095,260801065729,0x252521002001CA086948706017347226080106572901013E01071AFF0FFFFF3C
239,4095,260801065914,0x252521002001CB086948706017347226080106591401013E01071AFF0FFFFF3C
240,4095,260801070059,0x252521002001CC086948706017347226080107005901013E01071AFF0FFFFF3C
241,4095,260801070244,0x252521002001CD086948706017347226080107024401013E01071AFF0FFFFF3C
242,4095,260801070429,0x252521002001CE086948706017347226080107042901013E01071AFF0FFFFF3C
243,4095,260801070614,0x252521002001CF086948706017347226080107061401013E01071AFF0FFFFF3C
244,4095,260801070759,0x252521002001D0086948706017347226080107075901013E01071AFF0FFFFF3C
245,4095,260801070944,0x252521002001D1086948706017347226080107094401013E01071AFF0FFFFF3C
246,4095,260801071129,0x252521002001D2086948706017347226080107112901013E01071AFF0FFFFF3C
247,4095,260801071314,0x252521002001D3086948706017347226080107131401013E010719FF0FFFFF72
248,4095,260801071459,0x252521002001D4086948706017347226080107145901013E01071AFF0FFFFF3C
249,4095,260801071644,0x252521002001D5086948706017347226080107164401013E010719FF0FFFFF72
250,4095,260801071829,0x252521002001D6086948706017347226080107182901013E010719FF0FFFFF72
251,4095,260801072014,0x252521002001D7086948706017347226080107201401013E010719FF0FFFFF72
252,4095,260801072159,0x252521002001D8086948706017347226080107215901013E010719FF0FFFFF72
253,4095,260801072344,0x252521002001D9086948706017347226080107234401013E010719FF0FFFFF72
254,4095,260801072529,0x252521002001DA086948706017347226080107252901013E010719FF0FFFFF72
255,4095,260801072714,0x252521002001DB086948706017347226080107271401013E010719FF0FFFFF72
256,4095,260801072859,0x252521002001DC086948706017347226080107285901013E010719FF0FFFFF72
257,4095,260801073044,0x252521002001DD086948706017347226080107304401013E010719FF0FFFFF72
258,4095,260801073229,0x252521002001DE086948706017347226080107322901013E010719FF0FFFFF72
259,4095,260801073414,0x252521002001DF086948706017347226080107341401013E010719FF0FFFFF72
260,4095,260801073559,0x252521002001E0086948706017347226080107355901013E010719FF0FFFFF72
261,4095,260801073744,0x252521002001E1086948706017347226080107374401013E010719FF0FFFFF72
262,4095,260801073929,0x252521002001E2086948706017347226080107392901013E010719FF0FFFFF72
263,4095,260801074114,0x252521002001E3086948706017347226080107411401013E010719FF0FFFFF72
264,4095,260801074259,0x252521002001E4086948706017347226080107425901013E010719FF0FFFFF72
265,4095,260801074444,0x252521002001E5086948706017347226080107444401013E010719FF0FFFFF72
266,4095,260801074629,0x252521002001E6086948706017347226080107462901013E010719FF0FFFFF72
267,4095,260801074814,0x252521002001E7086948706017347226080107481401013E010719FF0FFFFF72
268,4095,260801074959,0x252521002001E8086948706017347226080107495901013E010719FF0FFFFF72
269,4095,260801075144,0x252521002001E9086948706017347226080107514401013E010719FF0FFFFF72
270,4095,260801075329,0x252521002001EA086948706017347226080107532901013E010719FF0FFFFF72
271,4095,260801075514,0x252521002001EB086948706017347226080107551401013E010719FF0FFFFF72
272,4095,260801075659,0x252521002001EC086948706017347226080107565901013E010719FF0FFFFF72
273,4095,260801075844,0x252521002001ED086948706017347226080107584401013E010719FF0FFFFF72
274,4095,260801080029,0x252521002001EE086948706017347226080108002901013E010719FF0FFFFF72
275,4095,260801080214,0x252521002001EF086948706017347226080108021401013E010719FF0FFFFF72
276,4095,260801080359,0x252521002001F0086948706017347226080108035901013E010719FF0FFFFF72
277,4095,260801080544,0x252521002001F1086948706017347226080108054401013E010719FF0FFFFF72
278,4095,260801080729,0x252521002001F2086948706017347226080108072901013E010719FF0FFFFF72
279,4095,260801080915,0x252521002001F3086948706017347226080108091501013E010719FF0FFFFF72
280,4095,260801081100,0x252521002001F4086948706017347226080108110001013E010719FF0FFFFF72
281,4095,260801081245,0x252521002001F5086948706017347226080108124501013E010719FF0FFFFF72
282,4095,260801081430,0x252521002001F6086948706017347226080108143001013E010719FF0FFFFF72
283,4095,260801081615,0x252521002001F7086948706017347226080108161501013E010719FF0FFFFF72
284,4095,260801081800,0x252521002001F8086948706017347226080108180001013E010719FF0FFFFF72
285,4095,260801081945,0x252521002001F9086948706017347226080108194501013E010719FF0FFFFF72
286,4095,260801082130,0x252521002001FA086948706017347226080108213001013E010719FF0FFFFF72
287,4095,260801082315,0x252521002001FB086948706017347226080108231501013E010719FF0FFFFF72
288,4095,260801082500,0x252521002001FC086948706017347226080108250001013E010719FF0FFFFF72
289,4095,260801082645,0x252521002001FD086948706017347226080108264501013E010719FF0FFFFF72
290,4095,260801082830,0x252521002001FE086948706017347226080108283001013E010719FF0FFFFF72
291,4095,260801083015,0x252521002001FF086948706017347226080108301501013E010719FF0FFFFF72
292,4095,260801083200,0x25252100200200086948706017347226080108320001013E010719FF0FFFFF72
293,4095,260801083345,0x25252100200201086948706017347226080108334501013E010719FF0FFFFF72
294,4095,260801083530,0x25252100200202086948706017347226080108353001013E010719FF0FFFFF72
295,4095,260801083715,0x25252100200203086948706017347226080108371501013E010719FF0FFFFF72
296,4095,260801083900,0x25252100200204086948706017347226080108390001013E010719FF0FFFFF72
297,4095,260801084045,0x25252100200205086948706017347226080108404501013E010719FF0FFFFF72
298,4095,260801084230,0x25252100200206086948706017347226080108423001013E010719FF0FFFFF72
299,4095,260801084415,0x25252100200207086948706017347226080108441501013E010719FF0FFFFF72
300,4095,260801084600,0x25252100200208086948706017347226080108460001013E010719FF0FFFFF72
301,4095,260801084745,0x25252100200209086948706017347226080108474501013E010719FF0FFFFF72
302,4095,260801084930,0x2525210020020A086948706017347226080108493001013E010719FF0FFFFF72
303,4095,260801085115,0x2525210020020B086948706017347226080108511501013E010719FF0FFFFF72
304,4095,260801085300,0x2525210020020C086948706017347226080108530001013E010719FF0FFFFF72
305,4095,260801085445,0x2525210020020D086948706017347226080108544501013E010719FF0FFFFF72
306,4095,260801085630,0x2525210020020E086948706017347226080108563001013E010719FF0FFFFF72
307,4095,260801085815,0x2525210020020F086948706017347226080108581501013E010719FF0FFFFF72
308,4095,260801090000,0x25252100200210086948706017347226080109000001013E010719FF0FFFFF72
309,4095,260801090145,0x25252100200211086948706017347226080109014501013E010719FF0FFFFF72
310,4095,260801090330,0x25252100200212086948706017347226080109033001013E010719FF0FFFFF72
311,4095,260801090515,0x25252100200213086948706017347226080109051501013E010719FF0FFFFF72
312,4095,260801090700,0x25252100200214086948706017347226080109070001013E010719FF0FFFFF72
313,4095,260801090845,0x25252100200215086948706017347226080109084501013E010719FF0FFFFF72
314,4095,260801091030,0x25252100200216086948706017347226080109103001013E010719FF0FFFFF72
315,4095,260801091215,0x25252100200217086948706017347226080109121501013E010719FF0FFFFF72
316,4095,260801091400,0x25252100200218086948706017347226080109140001013E010719FF0FFFFF72
317,4095,260801091545,0x25252100200219086948706017347226080109154501013E010719FF0FFFFF72
318,4095,260801091730,0x2525210020021A086948706017347226080109173001013E010719FF0FFFFF72
319,4095,260801091915,0x2525210020021B086948706017347226080109191501013E010719FF0FFFFF72
320,4095,260801092100,0x2525210020021C086948706017347226080109210001013E010719FF0FFFFF72
321,4095,260801092245,0x2525210020021D086948706017347226080109224501013E010719FF0FFFFF72
322,4095,260801092430,0x2525210020021E086948706017347226080109243001013E010719FF0FFFFF72
323,4095,260801092615,0x2525210020021F086948706017347226080109261501013E010718FF0FFFFFBF
